magic_rank,ticker,name,pasa_filtros,per,pb,ev_ebit,ev_ebitda,fcf_yield,earnings_yield,roic,roc_greenblatt,roe,net_debt_ebitda,interest_coverage,current_ratio,piotroski,es_financiera,fin_rank,roa,capital_activos,fin_score
83,MDT,Medtronic plc,True,22.180162982964035,2.1528609765119446,16.16483106250353,11.09156100596396,0.050954594567925816,0.061862694149624156,0.10729315202452645,0.31475713034167235,0.09706245072074075,-0.20679045092838197,9.044755244755244,2.126179447589638,7,False,,,,
84,ROK,"ROCKWELL AUTOMATION, INC",True,60.40037397977517,14.36451149108501,32.43918085051358,27.240594175751784,0.025872617374367253,0.0308269189844283,0.21700468018720748,1.3483768804433887,0.2378215654077723,1.358974358974359,10.916666666666666,1.135268505079826,7,False,,,,
85,IDXX,IDEXX LABORATORIES INC /DE,True,41.531316555987544,27.408372185125163,32.551244614036584,29.411566570383208,0.02402514868554035,0.030720791535227044,0.5802952580714188,1.3433824611588583,0.6599446985547996,0.17922169206504857,35.005430865849895,1.2306839923608173,8,False,,,,
86,WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES CORP,True,38.023678429052424,3.9927933730022738,27.462188378132367,21.464561360937807,0.03369470377746695,0.03641370404393124,0.08382793386841089,0.8300925925925926,0.1050080775444265,2.071490845684394,7.9688888888888885,1.105631067961165,5,False,,,,
87,SCCO,SOUTHERN COPPER CORP/,True,32.67822160082315,12.872817166423498,20.643207101803736,18.365401095881783,0.024116863927041484,0.04844208533433854,0.3301973197517251,0.4248707492900313,0.3939264909721782,0.31080926544770715,,3.8937578667661183,7,False,,,,
88,AMGN,AMGEN INC,True,26.18750452898225,23.323151700506134,27.24745015671609,17.36553993282671,0.04011254343171095,0.03670068187108932,0.14409589598313233,0.7908718752721888,0.8906213906213907,3.191900049133151,3.2958257713248638,1.1399819529993331,8,False,,,,
89,PEP,PEPSICO INC,True,23.921763113800772,9.65967500037824,20.027598543896186,15.404196137381655,0.03892137702124069,0.04993109871901093,0.17380557103799898,0.3844841999665608,0.4038028030971283,2.218342364037728,10.256913470115968,0.8530399218654621,5,False,,,,
90,PH,Parker-Hannifin Corp,True,34.37353481063946,8.873507159127218,29.961197366270667,29.961197366270667,0.02751893266195852,0.03337650320763773,0.1660329912623777,1.0685840707964602,0.25814939336354337,2.032206119162641,10.62836185819071,1.1943632926619694,8,False,,,,
91,NOC,NORTHROP GRUMMAN CORP /DE/,True,18.646054530321774,4.676610294218883,19.789581034317372,14.92074211028007,0.04240950627046934,0.050531640779351863,0.13309886956916103,0.3644663488729094,0.250809643756747,1.8875146247701822,,1.1012102002593287,6,False,,,,
92,DOV,DOVER Corp,True,26.30680913129856,3.886251333188955,22.67163017592523,17.76236962747048,0.03883949207758119,0.04410798836432546,0.11233352445609897,0.4418688229430831,0.14772796327340523,1.3450795179293278,12.511031957147543,1.7895412685939862,6,False,,,,
